Error,Step,Solution,Time
1.000000E-04,2190,29,111
1.000000E-04,2200,29,103
1.000000E-04,2210,29,104
1.000000E-04,2220,29,104
1.000000E-04,2230,29,105
1.000000E-04,2240,29,105
1.000000E-04,2250,29,110
1.000000E-04,2260,29,109
1.000000E-04,2270,29,106
1.000000E-04,2280,29,107
1.000000E-04,2290,29,107
1.000000E-04,2300,29,108
1.000000E-04,2310,29,109
1.000000E-04,2320,29,114
1.000000E-04,2330,29,115
1.000000E-04,2340,29,131
1.000000E-04,2350,29,114
1.000000E-04,2360,29,125
1.000000E-04,2370,29,112
1.000000E-04,2380,29,112
1.000000E-04,2390,29,113
1.000000E-04,2400,29,119
1.000000E-04,2410,29,114
1.000000E-04,2420,29,114
1.000000E-04,2430,29,115
1.000000E-04,2440,29,114
1.000000E-04,2450,29,114
1.000000E-04,2460,29,122
1.000000E-04,2470,29,140
1.000000E-04,2480,29,136
1.000000E-04,2490,29,125
1.000000E-04,2500,29,150
1.000000E-04,2510,29,117
1.000000E-04,2520,29,118
1.000000E-04,2530,29,123
1.000000E-04,2540,29,125
1.000000E-04,2550,29,125
1.000000E-04,2560,29,126
1.000000E-04,2570,29,126
1.000000E-04,2580,29,127
1.000000E-04,2590,29,130
1.000000E-04,2600,29,129
1.000000E-04,2610,29,126
1.000000E-04,2620,29,126
1.000000E-04,2630,29,126
1.000000E-04,2640,29,127
1.000000E-04,2650,29,127
1.000000E-04,2660,29,133
1.000000E-04,2670,29,131
1.000000E-04,2680,29,132
1.000000E-04,2690,29,131
1.000000E-04,2700,29,127
1.000000E-04,2710,29,127
1.000000E-04,2720,29,134
1.000000E-04,2730,29,138
1.000000E-04,2740,29,138
1.000000E-04,2750,29,129
1.000000E-04,2760,29,130
1.000000E-04,2770,29,143
1.000000E-04,2780,29,130
1.000000E-04,2790,29,138
1.000000E-04,2800,29,129
1.000000E-04,2810,29,129
1.000000E-04,2820,29,130
1.000000E-04,2830,29,130
1.000000E-04,2840,29,135
1.000000E-04,2850,29,142
1.000000E-04,2860,29,140
1.000000E-04,2870,29,135
1.000000E-04,2880,29,135
1.000000E-04,2890,29,136
1.000000E-04,2900,29,136
1.000000E-04,2910,29,143
1.000000E-04,2920,29,145
1.000000E-04,2930,29,141
1.000000E-04,2940,29,142
1.000000E-04,2950,29,145
1.000000E-04,2960,29,145
1.000000E-04,2970,29,146
1.000000E-04,2980,29,146
1.000000E-04,2990,29,147
1.000000E-04,3000,29,147
1.000000E-04,3010,29,147
1.000000E-04,3020,29,148
1.000000E-04,3030,29,149
1.000000E-04,3040,29,149
1.000000E-04,3050,29,146
1.000000E-04,3060,29,143
1.000000E-04,3070,29,146
1.000000E-04,3080,29,160
1.000000E-04,3090,29,156
1.000000E-04,3100,29,142
1.000000E-04,3110,29,143
1.000000E-04,3120,29,143
1.000000E-04,3130,29,144
1.000000E-04,3140,29,156
1.000000E-04,3150,29,148
1.000000E-04,3160,29,148
1.000000E-04,3170,29,148
1.000000E-04,3180,29,149
1.000000E-04,3190,29,164
1.000000E-04,3200,29,167
1.000000E-04,3210,29,155
1.000000E-04,3220,29,151
1.000000E-04,3230,29,151
1.000000E-04,3240,29,156
1.000000E-04,3250,29,154
1.000000E-04,3260,29,153
1.000000E-04,3270,29,156
1.000000E-04,3280,29,161
1.000000E-04,3290,29,167
1.000000E-04,3300,29,168
1.000000E-04,3310,29,163
1.000000E-04,3320,29,163
1.000000E-04,3330,29,164
1.000000E-04,3340,29,164
1.000000E-04,3350,29,166
1.000000E-04,3360,29,165
1.000000E-04,3370,29,163
1.000000E-04,3380,29,158
1.000000E-04,3390,29,168
1.000000E-04,3400,29,169
1.000000E-04,3410,29,166
1.000000E-04,3420,29,157
1.000000E-04,3430,29,164
1.000000E-04,3440,29,169
1.000000E-04,3450,29,170
1.000000E-04,3460,29,171
1.000000E-04,3470,29,170
1.000000E-04,3480,29,171
1.000000E-04,3490,29,176
1.000000E-04,3500,29,177
1.000000E-04,3510,29,164
1.000000E-04,3520,29,165
1.000000E-04,3530,29,165
1.000000E-04,3540,29,166
1.000000E-04,3550,29,169
1.000000E-04,3560,29,167
1.000000E-04,3570,29,167
1.000000E-04,3580,29,175
1.000000E-04,3590,29,176
1.000000E-04,3600,29,179
1.000000E-04,3610,29,177
1.000000E-04,3620,29,178
1.000000E-04,3630,29,178
1.000000E-04,3640,29,179
1.000000E-04,3650,29,180
1.000000E-04,3660,29,178
1.000000E-04,3670,29,172
1.000000E-04,3680,29,175
1.000000E-04,3690,29,183
1.000000E-04,3700,29,173
1.000000E-04,3710,29,174
1.000000E-04,3720,29,172
1.000000E-04,3730,29,176
1.000000E-04,3740,29,173
1.000000E-04,3750,29,174
1.000000E-04,3760,29,174
1.000000E-04,3770,29,175
1.000000E-04,3780,29,179
1.000000E-04,3790,29,175
1.000000E-04,3800,29,176
1.000000E-04,3810,29,176
1.000000E-04,3820,29,177
1.000000E-04,3830,29,182
1.000000E-04,3840,29,179
1.000000E-04,3850,29,179
1.000000E-04,3860,29,179
1.000000E-04,3870,29,182
1.000000E-04,3880,29,177
1.000000E-04,3890,29,189
1.000000E-04,3900,29,181
1.000000E-04,3910,29,182
1.000000E-04,3920,29,185
1.000000E-04,3930,29,183
1.000000E-04,3940,29,183
1.000000E-04,3950,29,184
1.000000E-04,3960,29,188
1.000000E-04,3970,29,188
1.000000E-04,3980,29,185
1.000000E-04,3990,29,185
1.000000E-04,4000,29,186
1.000000E-04,4010,29,190
1.000000E-04,4020,29,187
1.000000E-04,4030,29,187
1.000000E-04,4040,29,188
1.000000E-04,4050,29,191
1.000000E-04,4060,29,195
1.000000E-04,4070,29,189
1.000000E-04,4080,29,190
1.000000E-04,4090,29,190
1.000000E-04,4100,29,194
1.000000E-04,4110,29,191
1.000000E-04,4120,29,192
1.000000E-04,4130,29,200
1.000000E-04,4140,29,192
1.000000E-04,4150,29,189
1.000000E-04,4160,29,189
1.000000E-04,4170,29,190
1.000000E-04,4180,29,195
1.000000E-04,4190,29,195
1.000000E-04,4200,29,195
1.000000E-04,4210,29,200
1.000000E-04,4220,29,202
1.000000E-04,4230,29,197
1.000000E-04,4240,29,197
1.000000E-04,4250,29,197
1.000000E-04,4260,29,202
1.000000E-04,4270,29,203
1.000000E-04,4280,29,205
1.000000E-04,4290,29,199
1.000000E-04,4300,29,200
1.000000E-04,4310,29,201
1.000000E-04,4320,29,196
1.000000E-04,4330,29,207
1.000000E-04,4340,29,201
1.000000E-04,4350,29,206
1.000000E-04,4360,29,203
1.000000E-04,4370,29,203
1.000000E-04,4380,29,204
1.000000E-04,4390,29,208
1.000000E-04,4400,29,207
1.000000E-04,4410,29,205
1.000000E-04,4420,29,207
1.000000E-04,4430,29,218
1.000000E-04,4440,29,206
1.000000E-04,4450,29,221
1.000000E-04,4460,29,207
1.000000E-04,4470,29,212
1.000000E-04,4480,29,210
1.000000E-04,4490,29,209
1.000000E-04,4500,29,212
1.000000E-04,4510,29,216
1.000000E-04,4520,29,210
1.000000E-04,4530,29,210
1.000000E-04,4540,29,211
1.000000E-04,4550,29,214
1.000000E-04,4560,29,212
1.000000E-04,4570,29,212
1.000000E-04,4580,29,213
1.000000E-04,4590,29,216
1.000000E-04,4600,29,214
1.000000E-04,4610,29,215
1.000000E-04,4620,29,223
1.000000E-04,4630,29,216
1.000000E-04,4640,29,216
1.000000E-04,4650,29,216
1.000000E-04,4660,29,224
1.000000E-04,4670,29,218
1.000000E-04,4680,29,218
1.000000E-04,4690,29,228
1.000000E-04,4700,29,223
1.000000E-04,4710,29,219
1.000000E-04,4720,29,227
1.000000E-04,4730,29,220
1.000000E-04,4740,29,225
1.000000E-04,4750,29,239
1.000000E-04,4760,29,233
1.000000E-04,4770,29,234
1.000000E-04,4780,29,227
1.000000E-04,4790,29,223
1.000000E-04,4800,29,224
1.000000E-04,4810,29,229
1.000000E-04,4820,29,225
1.000000E-04,4830,29,225
1.000000E-04,4840,29,225
1.000000E-04,4850,29,230
1.000000E-04,4860,29,226
1.000000E-04,4870,29,226
1.000000E-04,4880,29,232
1.000000E-04,4890,29,227
1.000000E-04,4900,29,227
1.000000E-04,4910,29,234
1.000000E-04,4920,29,231
1.000000E-04,4930,29,229
1.000000E-04,4940,29,236
1.000000E-04,4950,29,234
1.000000E-04,4960,29,234
1.000000E-04,4970,29,230
1.000000E-04,4980,29,231
1.000000E-04,4990,29,232
1.000000E-04,5000,29,232
1.000000E-04,5010,29,232
1.000000E-04,5020,29,233
1.000000E-04,5030,29,237
1.000000E-04,5040,29,250
1.000000E-04,5050,29,252
1.000000E-04,5060,29,247
1.000000E-04,5070,29,247
1.000000E-04,5080,29,250
1.000000E-04,5090,29,248
1.000000E-04,5100,29,249
